comName,order,birdFamily,scientificName
Cooper's Hawk,Accipitriformes,"Accipitridae: Kites, Hawks & Eagles",Accipiter cooperii
Northern Goshawk,Accipitriformes,"Accipitridae: Kites, Hawks & Eagles",Accipiter gentilis
Bald Eagle,Accipitriformes,"Accipitridae: Kites, Hawks & Eagles",Haliaeetus leucocephalus
Mississippi Kite,Accipitriformes,"Accipitridae: Kites, Hawks & Eagles",Ictinia mississippiensis
Red-shouldered Hawk,Accipitriformes,"Accipitridae: Kites, Hawks & Eagles",Buteo lineatus
Broad-winged Hawk,Accipitriformes,"Accipitridae: Kites, Hawks & Eagles",Buteo platypterus
Swainson's Hawk,Accipitriformes,"Accipitridae: Kites, Hawks & Eagles",Buteo swainsoni
Zone-tailed Hawk,Accipitriformes,"Accipitridae: Kites, Hawks & Eagles",Buteo albonotatus
Red-tailed Hawk,Accipitriformes,"Accipitridae: Kites, Hawks & Eagles",Buteo jamaicensis
Red-tailed Hawk (Harlan's),Accipitriformes,"Accipitridae: Kites, Hawks & Eagles",Buteo jamaicensis harlani
Rough-legged Hawk,Accipitriformes,"Accipitridae: Kites, Hawks & Eagles",Buteo lagopus
Ferruginous Hawk,Accipitriformes,"Accipitridae: Kites, Hawks & Eagles",Buteo regalis
Barn Owl,Strigiformes,Tytonidae: Barn Owls,Tyto alba
Eastern Screech-Owl,Strigiformes,Strigidae: Typical Owls,Megascops asio
Great Horned Owl,Strigiformes,Strigidae: Typical Owls,Bubo virginianus
Snowy Owl,Strigiformes,Strigidae: Typical Owls,Bubo scandiacus
Burrowing Owl,Strigiformes,Strigidae: Typical Owls,Athene cunicularia
Barred Owl,Strigiformes,Strigidae: Typical Owls,Strix varia
Long-eared Owl,Strigiformes,Strigidae: Typical Owls,Asio otus
Short-eared Owl,Strigiformes,Strigidae: Typical Owls,Asio flammeus
Northern Saw-whet Owl,Strigiformes,Strigidae: Typical Owls,Aegolius acadicus
Belted Kingfisher,Coraciiformes,Alcedinidae: Kingfishers,Megaceryle alcyon
Lewis's Woodpecker,Piciformes,Picidae: Woodpeckers,Melanerpes lewis
Red-headed Woodpecker,Piciformes,Picidae: Woodpeckers,Melanerpes erythrocephalus
Red-bellied Woodpecker,Piciformes,Picidae: Woodpeckers,Melanerpes carolinus
Yellow-bellied Sapsucker,Piciformes,Picidae: Woodpeckers,Sphyrapicus varius
Downy Woodpecker,Piciformes,Picidae: Woodpeckers,Dryobates pubescens
Red-cockaded Woodpecker,Piciformes,Picidae: Woodpeckers,Dryobates borealis
Hairy Woodpecker,Piciformes,Picidae: Woodpeckers,Dryobates villosus
Northern Flicker,Piciformes,Picidae: Woodpeckers,Colaptes auratus
Pileated Woodpecker,Piciformes,Picidae: Woodpeckers,Dryocopus pileatus
Crested Caracara,Falconiformes,Falconidae: Falcons,Caracara cheriway
American Kestrel,Falconiformes,Falconidae: Falcons,Falco sparverius
Merlin (Prairie),Falconiformes,Falconidae: Falcons,Falco columbarius richardsonii
Merlin,Falconiformes,Falconidae: Falcons,Falco columbarius
Merlin (Taiga),Falconiformes,Falconidae: Falcons,Falco columbarius columbarius
Gyrfalcon,Falconiformes,Falconidae: Falcons,Falco rusticolus
Peregrine Falcon,Falconiformes,Falconidae: Falcons,Falco peregrinus
Prairie Falcon,Falconiformes,Falconidae: Falcons,Falco mexicanus
Monk Parakeet,Psittaciformes,Psittacidae: Parrots,Myiopsitta monachus
Ash-throated Flycatcher,Passeriformes,Tyrannidae: Tyrant Flycatchers,Myiarchus cinerascens
Great Crested Flycatcher,Passeriformes,Tyrannidae: Tyrant Flycatchers,Myiarchus crinitus
Tropical/Couch's Kingbird,Passeriformes,Tyrannidae: Tyrant Flycatchers,Tyrannus melancholicus/couchii
Western Kingbird,Passeriformes,Tyrannidae: Tyrant Flycatchers,Tyrannus verticalis
Eastern Kingbird,Passeriformes,Tyrannidae: Tyrant Flycatchers,Tyrannus tyrannus
Gray Kingbird,Passeriformes,Tyrannidae: Tyrant Flycatchers,Tyrannus dominicensis
Scissor-tailed Flycatcher,Passeriformes,Tyrannidae: Tyrant Flycatchers,Tyrannus forficatus
Fork-tailed Flycatcher,Passeriformes,Tyrannidae: Tyrant Flycatchers,Tyrannus savana
Olive-sided Flycatcher,Passeriformes,Tyrannidae: Tyrant Flycatchers,Contopus cooperi
Western Wood-Pewee,Passeriformes,Tyrannidae: Tyrant Flycatchers,Contopus sordidulus
Eastern Wood-Pewee,Passeriformes,Tyrannidae: Tyrant Flycatchers,Contopus virens
Yellow-bellied Flycatcher,Passeriformes,Tyrannidae: Tyrant Flycatchers,Empidonax flaviventris
Acadian Flycatcher,Passeriformes,Tyrannidae: Tyrant Flycatchers,Empidonax virescens
Alder Flycatcher,Passeriformes,Tyrannidae: Tyrant Flycatchers,Empidonax alnorum
Willow Flycatcher,Passeriformes,Tyrannidae: Tyrant Flycatchers,Empidonax traillii
Least Flycatcher,Passeriformes,Tyrannidae: Tyrant Flycatchers,Empidonax minimus
Dusky Flycatcher,Passeriformes,Tyrannidae: Tyrant Flycatchers,Empidonax oberholseri
Pacific-slope/Cordilleran Flycatcher,Passeriformes,Tyrannidae: Tyrant Flycatchers,Empidonax difficilis/occidentalis
Eastern Phoebe,Passeriformes,Tyrannidae: Tyrant Flycatchers,Sayornis phoebe
Say's Phoebe,Passeriformes,Tyrannidae: Tyrant Flycatchers,Sayornis saya
Vermilion Flycatcher,Passeriformes,Tyrannidae: Tyrant Flycatchers,Pyrocephalus rubinus
Loggerhead Shrike,Passeriformes,Laniidae: Shrikes,Lanius ludovicianus
Northern Shrike,Passeriformes,Laniidae: Shrikes,Lanius borealis
White-eyed Vireo,Passeriformes,Vireonidae: Vireos,Vireo griseus
Bell's Vireo,Passeriformes,Vireonidae: Vireos,Vireo bellii
Yellow-throated Vireo,Passeriformes,Vireonidae: Vireos,Vireo flavifrons
Blue-headed Vireo,Passeriformes,Vireonidae: Vireos,Vireo solitarius
Philadelphia Vireo,Passeriformes,Vireonidae: Vireos,Vireo philadelphicus
Warbling Vireo,Passeriformes,Vireonidae: Vireos,Vireo gilvus
Red-eyed Vireo,Passeriformes,Vireonidae: Vireos,Vireo olivaceus
Black-whiskered Vireo,Passeriformes,Vireonidae: Vireos,Vireo altiloquus
Blue Jay,Passeriformes,"Corvidae: Jays, Crows & Magpies",Cyanocitta cristata
Black-billed Magpie,Passeriformes,"Corvidae: Jays, Crows & Magpies",Pica hudsonia
American Crow,Passeriformes,"Corvidae: Jays, Crows & Magpies",Corvus brachyrhynchos
Fish Crow,Passeriformes,"Corvidae: Jays, Crows & Magpies",Corvus ossifragus
Common Raven,Passeriformes,"Corvidae: Jays, Crows & Magpies",Corvus corax
Horned Lark,Passeriformes,Alaudidae: Larks,Eremophila alpestris
Bank Swallow,Passeriformes,Hirundinidae: Martins and Swallows,Riparia riparia
Tree Swallow,Passeriformes,Hirundinidae: Martins and Swallows,Tachycineta bicolor
Violet-green Swallow,Passeriformes,Hirundinidae: Martins and Swallows,Tachycineta thalassina
Northern Rough-winged Swallow,Passeriformes,Hirundinidae: Martins and Swallows,Stelgidopteryx serripennis
Brown-chested Martin,Passeriformes,Hirundinidae: Martins and Swallows,Progne tapera
Purple Martin,Passeriformes,Hirundinidae: Martins and Swallows,Progne subis
Barn Swallow,Passeriformes,Hirundinidae: Martins and Swallows,Hirundo rustica
Cliff Swallow,Passeriformes,Hirundinidae: Martins and Swallows,Petrochelidon pyrrhonota
Cave Swallow,Passeriformes,Hirundinidae: Martins and Swallows,Petrochelidon fulva
Carolina Chickadee,Passeriformes,Paridae: Chickadees and Titmice,Poecile carolinensis
Black-capped Chickadee,Passeriformes,Paridae: Chickadees and Titmice,Poecile atricapillus
Boreal Chickadee,Passeriformes,Paridae: Chickadees and Titmice,Poecile hudsonicus
Tufted Titmouse,Passeriformes,Paridae: Chickadees and Titmice,Baeolophus bicolor
Red-breasted Nuthatch,Passeriformes,Sittidae: Nuthatches,Sitta canadensis
White-breasted Nuthatch,Passeriformes,Sittidae: Nuthatches,Sitta carolinensis
Brown-headed Nuthatch,Passeriformes,Sittidae: Nuthatches,Sitta pusilla
Brown Creeper,Passeriformes,Certhiidae: Creepers,Certhia americana
Rock Wren,Passeriformes,Troglodytidae: Wrens,Salpinctes obsoletus
House Wren,Passeriformes,Troglodytidae: Wrens,Troglodytes aedon
Winter Wren,Passeriformes,Troglodytidae: Wrens,Troglodytes hiemalis
Sedge Wren,Passeriformes,Troglodytidae: Wrens,Cistothorus platensis
Marsh Wren,Passeriformes,Troglodytidae: Wrens,Cistothorus palustris
Carolina Wren,Passeriformes,Troglodytidae: Wrens,Thryothorus ludovicianus
Bewick's Wren,Passeriformes,Troglodytidae: Wrens,Thryomanes bewickii
Blue-gray Gnatcatcher,Passeriformes,Sylviidae: Gnatcatchers,Polioptila caerulea
Golden-crowned Kinglet,Passeriformes,Regulidae: Kinglets,Regulus satrapa
Ruby-crowned Kinglet,Passeriformes,Regulidae: Kinglets,Regulus calendula
Northern Wheatear,Passeriformes,Muscicapidae: Old World Flycatchers,Oenanthe oenanthe
Eastern Bluebird,Passeriformes,Turdidae: Thrushes,Sialia sialis
Mountain Bluebird,Passeriformes,Turdidae: Thrushes,Sialia currucoides
Townsend's Solitaire,Passeriformes,Turdidae: Thrushes,Myadestes townsendi
Veery,Passeriformes,Turdidae: Thrushes,Catharus fuscescens
Gray-cheeked Thrush,Passeriformes,Turdidae: Thrushes,Catharus minimus
Bicknell's Thrush,Passeriformes,Turdidae: Thrushes,Catharus bicknelli
Swainson's Thrush,Passeriformes,Turdidae: Thrushes,Catharus ustulatus
Hermit Thrush,Passeriformes,Turdidae: Thrushes,Catharus guttatus
Wood Thrush,Passeriformes,Turdidae: Thrushes,Hylocichla mustelina
American Robin,Passeriformes,Turdidae: Thrushes,Turdus migratorius
Varied Thrush,Passeriformes,Turdidae: Thrushes,Ixoreus naevius
Gray Catbird,Passeriformes,"Mimidae: Catbirds, Mockingbirds & Thrashers",Dumetella carolinensis
Brown Thrasher,Passeriformes,"Mimidae: Catbirds, Mockingbirds & Thrashers",Toxostoma rufum
Sage Thrasher,Passeriformes,"Mimidae: Catbirds, Mockingbirds & Thrashers",Oreoscoptes montanus
Northern Mockingbird,Passeriformes,"Mimidae: Catbirds, Mockingbirds & Thrashers",Mimus polyglottos
European Starling,Passeriformes,Sturnidae: Starlings,Sturnus vulgaris
Bohemian Waxwing,Passeriformes,Bombycillidae: Waxwings,Bombycilla garrulus
Cedar Waxwing,Passeriformes,Bombycillidae: Waxwings,Bombycilla cedrorum
House Sparrow,Passeriformes,Passeridae: Old World Sparrows,Passer domesticus
American Pipit,Passeriformes,Motacillidae: Pipits,Anthus rubescens
Sprague's Pipit,Passeriformes,Motacillidae: Pipits,Anthus spragueii
Evening Grosbeak,Passeriformes,"Fringillidae: Siskins, Crossbills & Allies",Coccothraustes vespertinus
Pine Grosbeak,Passeriformes,"Fringillidae: Siskins, Crossbills & Allies",Pinicola enucleator
House Finch,Passeriformes,"Fringillidae: Siskins, Crossbills & Allies",Haemorhous mexicanus
Purple Finch,Passeriformes,"Fringillidae: Siskins, Crossbills & Allies",Haemorhous purpureus
Common Redpoll,Passeriformes,"Fringillidae: Siskins, Crossbills & Allies",Acanthis flammea
Hoary Redpoll,Passeriformes,"Fringillidae: Siskins, Crossbills & Allies",Acanthis hornemanni
Red Crossbill,Passeriformes,"Fringillidae: Siskins, Crossbills & Allies",Loxia curvirostra
White-winged Crossbill,Passeriformes,"Fringillidae: Siskins, Crossbills & Allies",Loxia leucoptera
Pine Siskin,Passeriformes,"Fringillidae: Siskins, Crossbills & Allies",Spinus pinus
Lesser Goldfinch,Passeriformes,"Fringillidae: Siskins, Crossbills & Allies",Spinus psaltria
American Goldfinch,Passeriformes,"Fringillidae: Siskins, Crossbills & Allies",Spinus tristis
Lapland Longspur,Passeriformes,Calcariidae: Longspurs and Snow Buntings,Calcarius lapponicus
Chestnut-collared Longspur,Passeriformes,Calcariidae: Longspurs and Snow Buntings,Calcarius ornatus
Smith's Longspur,Passeriformes,Calcariidae: Longspurs and Snow Buntings,Calcarius pictus
Snow Bunting,Passeriformes,Calcariidae: Longspurs and Snow Buntings,Plectrophenax nivalis
Bachman's Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Peucaea aestivalis
Grasshopper Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Ammodramus savannarum
Black-throated Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Amphispiza bilineata
Lark Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Chondestes grammacus
Lark Bunting,Passeriformes,Passerellidae: New World Sparrows and Towhees,Calamospiza melanocorys
Chipping Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Spizella passerina
Clay-colored Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Spizella pallida
Field Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Spizella pusilla
Brewer's Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Spizella breweri
Fox Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Passerella iliaca
Fox Sparrow (Red),Passeriformes,Passerellidae: New World Sparrows and Towhees,Passerella iliaca iliaca
American Tree Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Spizelloides arborea
Dark-eyed Junco,Passeriformes,Passerellidae: New World Sparrows and Towhees,Junco hyemalis
Dark-eyed Junco (Oregon),Passeriformes,Passerellidae: New World Sparrows and Towhees,Junco hyemalis montanus
Dark-eyed Junco (Pink-sided),Passeriformes,Passerellidae: New World Sparrows and Towhees,Junco hyemalis mearnsi
White-crowned Sparrow (Gambel's),Passeriformes,Passerellidae: New World Sparrows and Towhees,Zonotrichia leucophrys gambelii
White-crowned Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Zonotrichia leucophrys
Harris's Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Zonotrichia querula
White-throated Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Zonotrichia albicollis
Vesper Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Pooecetes gramineus
LeConte's Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Ammospiza leconteii
Seaside Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Ammospiza maritimus
Nelson's Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Ammospiza nelsoni
Nelson's Sparrow (Nelson's),Passeriformes,Passerellidae: New World Sparrows and Towhees,Ammospiza nelsoni nelsoni
Nelson's Sparrow (James Bay),Passeriformes,Passerellidae: New World Sparrows and Towhees,Ammospiza nelsoni alter
Nelson's Sparrow (Atlantic Coast),Passeriformes,Passerellidae: New World Sparrows and Towhees,Ammospiza nelsoni subvirgatus
Saltmarsh Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Ammospiza caudacutus
Henslow's Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Centronyx henslowii
Savannah Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Passerculus sandwichensis
Savannah Sparrow (Ipswich),Passeriformes,Passerellidae: New World Sparrows and Towhees,Passerculus sandwichensis princeps
Song Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Melospiza melodia
Lincoln's Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Melospiza lincolnii
Swamp Sparrow,Passeriformes,Passerellidae: New World Sparrows and Towhees,Melospiza georgiana
Green-tailed Towhee,Passeriformes,Passerellidae: New World Sparrows and Towhees,Pipilo chlorurus
Spotted Towhee,Passeriformes,Passerellidae: New World Sparrows and Towhees,Pipilo maculatus
Eastern Towhee,Passeriformes,Passerellidae: New World Sparrows and Towhees,Pipilo erythrophthalmus
Yellow-breasted Chat,Passeriformes,Icteriidae: Yellow-breasted Chat,Icteria virens
Yellow-headed Blackbird,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",Xanthocephalus xanthocephalus
Bobolink,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",Dolichonyx oryzivorus
Eastern Meadowlark,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",Sturnella magna
Orchard Oriole,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",Icterus spurius
Bullock's Oriole,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",Icterus bullockii
Baltimore Oriole,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",Icterus galbula
Scott's Oriole,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",Icterus parisorum
Red-winged Blackbird,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",Agelaius phoeniceus
Shiny Cowbird,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",Molothrus bonariensis
Brown-headed Cowbird,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",Molothrus ater
Rusty Blackbird,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",Euphagus carolinus
Brewer's Blackbird,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",Euphagus cyanocephalus
Common Grackle,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",Quiscalus quiscula
Boat-tailed Grackle,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",Quiscalus major
Ovenbird,Passeriformes,Parulidae: Wood Warblers,Seiurus aurocapilla
Worm-eating Warbler,Passeriformes,Parulidae: Wood Warblers,Helmitheros vermivorum
Louisiana Waterthrush,Passeriformes,Parulidae: Wood Warblers,Parkesia motacilla
Northern Waterthrush,Passeriformes,Parulidae: Wood Warblers,Parkesia noveboracensis
Golden-winged Warbler,Passeriformes,Parulidae: Wood Warblers,Vermivora chrysoptera
Blue-winged Warbler,Passeriformes,Parulidae: Wood Warblers,Vermivora cyanoptera
Black-and-white Warbler,Passeriformes,Parulidae: Wood Warblers,Mniotilta varia
Prothonotary Warbler,Passeriformes,Parulidae: Wood Warblers,Protonotaria citrea
Swainson's Warbler,Passeriformes,Parulidae: Wood Warblers,Limnothlypis swainsonii
Tennessee Warbler,Passeriformes,Parulidae: Wood Warblers,Leiothlypis peregrina
Orange-crowned Warbler,Passeriformes,Parulidae: Wood Warblers,Leiothlypis celata
Lucy's Warbler,Passeriformes,Parulidae: Wood Warblers,Leiothlypis luciae
Nashville Warbler,Passeriformes,Parulidae: Wood Warblers,Leiothlypis ruficapilla
Connecticut Warbler,Passeriformes,Parulidae: Wood Warblers,Oporornis agilis
MacGillivray's Warbler,Passeriformes,Parulidae: Wood Warblers,Geothlypis tolmiei
Mourning Warbler,Passeriformes,Parulidae: Wood Warblers,Geothlypis philadelphia
Kentucky Warbler,Passeriformes,Parulidae: Wood Warblers,Geothlypis formosa
Common Yellowthroat,Passeriformes,Parulidae: Wood Warblers,Geothlypis trichas
Hooded Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga citrina
American Redstart,Passeriformes,Parulidae: Wood Warblers,Setophaga ruticilla
Kirtland's Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga kirtlandii
Cape May Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga tigrina
Cerulean Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga cerulea
Northern Parula,Passeriformes,Parulidae: Wood Warblers,Setophaga americana
Magnolia Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga magnolia
Bay-breasted Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga castanea
Blackburnian Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga fusca
Yellow Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga petechia
Chestnut-sided Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga pensylvanica
Blackpoll Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga striata
Black-throated Blue Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga caerulescens
Palm Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga palmarum
Palm Warbler (Western),Passeriformes,Parulidae: Wood Warblers,Setophaga palmarum palmarum
Palm Warbler (Yellow),Passeriformes,Parulidae: Wood Warblers,Setophaga palmarum hypochrysea
Pine Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga pinus
Yellow-rumped Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga coronata
Yellow-rumped Warbler (Audubon's),Passeriformes,Parulidae: Wood Warblers,Setophaga coronata auduboni
Yellow-rumped Warbler (Myrtle),Passeriformes,Parulidae: Wood Warblers,Setophaga coronata coronata
Yellow-throated Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga dominica
Prairie Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga discolor
Black-throated Gray Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga nigrescens
Townsend's Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga townsendi
Black-throated Green Warbler,Passeriformes,Parulidae: Wood Warblers,Setophaga virens
Canada Warbler,Passeriformes,Parulidae: Wood Warblers,Cardellina canadensis
Wilson's Warbler,Passeriformes,Parulidae: Wood Warblers,Cardellina pusilla
Summer Tanager,Passeriformes,"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",Piranga rubra
Scarlet Tanager,Passeriformes,"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",Piranga olivacea
Western Tanager,Passeriformes,"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",Piranga ludoviciana
Northern Cardinal,Passeriformes,"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",Cardinalis cardinalis
Rose-breasted Grosbeak,Passeriformes,"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",Pheucticus ludovicianus
Black-headed Grosbeak,Passeriformes,"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",Pheucticus melanocephalus
Blue Grosbeak,Passeriformes,"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",Passerina caerulea
Lazuli Bunting,Passeriformes,"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",Passerina amoena
Indigo Bunting,Passeriformes,"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",Passerina cyanea
Painted Bunting,Passeriformes,"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",Passerina ciris
Dickcissel,Passeriformes,"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",Spiza americana
Tufted Puffin,,,Frater­cu­la cirrhata
Passenger Pigeon,-,Species Believed to Have Occurred Historically,Ectopistes migratorius
Eskimo Curlew,-,Species Believed to Have Occurred Historically,Numenius borealis
Carolina Parakeet,-,Species Believed to Have Occurred Historically,Conuropsis carolinensis
Bachman's Warbler,-,Species Believed to Have Occurred Historically,Vermivora bachmanii
Peruvian Pelican,Pelecaniformes,Pelecanidae: Pelicans,Pelecanus thagus
Willow Ptarmigan,,,Lago­pus lagopus
Horned Puffin,,,Frater­cu­la corniculata
Greater Roadrunner,,,Geococcyx californianus
California Quail,,,Callipepla californica
